id;nom;type_filtre_1;gb_type_filtre_1;themes_tags_filtre_2;gb_themes_tags_filtre_2;filiere_filtre_3;filiere_picto;numfil;gb_sector_filtre_3;esr_filtre_4;departement;hebergeur;adresse;cp;ville;label_innov_up_incubation_2023;gb_label_innov_up;liens_avec_etablissement_esr;gb_linked_with_higher_education_and_research_institutions;accueil_d_entreprises_etrangeres;gb_foreign_business_accommodation;w3;raison_sociale;siret;incubateur;accelerateur;date_mise_a_jour;adresse_complete;coordxy;nombre_de_themes_tags;theme_1_popin;theme_2_popin;theme_3_popin;theme_4_popin;theme_5_popin;gb_theme_1_popin;gb_theme_2_popin;gb_theme_3_popin;gb_theme_4_popin;gb_theme_5_popin
147;Assas Lab;Incubateur;Incubator;"LegalTech;Etudiant";"Legaltech;Student";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Centre Charcot;36 rue Charcot;75013.0;Paris;Non;No;Université Paris-Panthéon-Assas;Paris-Panthéon-Assas University;;;https://assaslab.u-paris2.fr/fr/incubateur;Université Paris-Panthéon-Assas;;oui;non;2023_06_14;Centre Charcot 36 rue Charcot;48.830298,2.370206;2.0;LegalTech;Etudiant;;;;Legaltech;Student;;;
154;SQY Cub;Incubateur, Accélérateur;Incubator, Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;3 avenue du Centre;78280.0;Guyancourt;Oui;Yes;;;;;https://www.saint-quentin-en-yvelines.fr/fr/incubateur-de-sqy;Saint Quentin en Yvelines;;oui;oui;2023_06_14;3 avenue du Centre;48.788475,2.050879;;;;;;;;;;;
170;CCI Hauts-de-Seine;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;Coeur Défense Tour A 110 esplanade du Général de Gaulle;92400.0;Courbevoie;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;oui;non;2023_06_14;Coeur Défense Tour A 110 esplanade du Général de Gaulle;48.890849,2.243402;;;;;;;;;;;
182;Coworking Time2Start;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;104 avenue de la Résistance;93100.0;Montreuil;Non;No;;;;;https://time2start.fr/;;;oui;non;2023_06_14;104 Avenue de la Résistance;48.864222,2.436189;;;;;;;;;;;
184;WACANO ROISSY;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;5 rue de Copenhague;93290.0;Tremblay-en-France;Non;No;;;;;https://wacano.co/;;;oui;non;2023_06_14;5 rue de Copenhague;49.010977,2.565812;;;;;;;;;;;
190;Intencity Clichy;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;6 rue d'Estienne d'Orves;92110.0;Clichy;Non;No;;;oui;yes;https://www.intencity.fr/incubateur-clichy-92/;INTENCITY;48816900400030;oui;non;2023_06_14;6 rue d'Estienne d'Orves;48.9058,2.30256;;;;;;;;;;;
198;INCUBATEUR. IÉSEG.;Incubateur;Incubator;Etudiant;Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;Parvis de la Défense;92800.0;Puteaux / Paris La Défense;Non;No;;;;;https://incubateur.ieseg.fr/;;;oui;non;2023_06_14;Parvis de la Défense;48.892542,2.236147;;;;;;;;;;;
18;CNAM Incubateur;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;;292 rue Saint-Martin;75003.0;Paris;Non;No;CNAM;CNAM;;;https://www.cnam-incubateur.fr/;CNAM;19753471200017;oui;non;2023_06_14;292 rue Saint-Martin;48.866972,2.354641;;;;;;;;;;;
24;CSTB'Lab;Accélérateur;Accelerator;"Immobilier / Construction;Impact environnemental, Durabilité, économie circulaire";"Real Estate / Construction;Environmental impact / sustainability / circular economy";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Oui;75.0;;4 avenue du Recteur Poincaré;75016.0;Paris;Non;No;CSTB;CSTB;oui;yes;https://www.cstb-lab.fr/;CSTB;;non;oui;2023_06_14;4 avenue du Recteur Poincaré;48.852164,2.273501;2.0;Immobilier / Construction;Impact environnemental, Durabilité, économie circulaire;;;;Real Estate / Construction;Environmental impact / sustainability / circular economy;;;
32;ESSEC Ventures;Incubateur;Incubator;Etudiant;Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;95.0;;3 avenue Bernard Hirsch;95021.0;Cergy;Non;No;ESSEC;ESSEC;;;https://essec-ventures.essec.edu/;ESSEC;77566395800046;oui;non;2023_06_14;3 avenue Bernard Hirsch;49.033676,2.078392;1.0;Etudiant;;;;;Student;;;;
42;IESA Incub';Incubateur, Accélérateur;Incubator, Accelerator;"Industries Culturelles & Créatives;Marketing / Publicité / Communication / Media;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité";"Cultural / Creative;Marketing / Advertising / Communication / Media;Environmental impact / Sustainability / Circular economy;Social impact / Solidarity";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;75.0;IESA;1 cité Griset;75011.0;Paris;Non;No;IESA;IESA;oui;yes;https://www.iesaincub.paris/;IESA;;oui;oui;2023_06_14;1 cité Griset;48.86643,2.379025;4.0;Industries Culturelles & Créatives;Marketing / Publicité / Communication / Media;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;Cultural / Creative;Marketing / Advertising / Communication / Media;Environmental impact / Sustainability / Circular economy;Social impact / Solidarity;
61;in'li LAB;Incubateur;Incubator;"Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;Tourisme / Ville intelligente / PropTech;Immobilier";"Environmental impact / Sustainability / Circular economy;Energy / Renewables;Tourism / Smart City / Proptech;Real Estate / Construction";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;92.0;Siège social Tour Ariane;5 place de la Pyramide;92800.0;Puteaux / Paris La Défense;Non;No;;;oui;yes;https://inli.com/inli/inli-lab;;;oui;non;2023_06_14;Siège social Tour Ariane 5 place de la Pyramide;48.889462,2.243741;4.0;Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;Toursime / Ville intelligente / PropTech;Immobilier / Construction;;Environmental impact / Sustainability / Circular economy;Energy / Renewables;Tourism / Smart City / Proptech;Real Estate / Construction;
83;Matrice Cube;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;15 square de Vergennes;75015.0;Paris;Non;No;;;oui;yes;https://matrice.io/cube;Matrice;82282751500025;oui;non;2023_06_14;15 square de Vergennes;48.838957,2.302079;;;;;;;;;;;
99;Paris&Co Tourisme;Incubateur, Accélérateur;Incubator, Accelerator;Tourisme / Ville intelligente / PropTech;Tourism / Smart City / Proptech;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Le Cargo;157 bd Macdonald;75019.0;Paris;Non;No;;;oui;yes;https://welcomecitylab.parisandco.com/;;;oui;oui;2023_06_14;Le Cargo 157 bd Macdonald;48.898595,2.378185;1.0;Toursime / Ville intelligente / PropTech;;;;;Tourism / Smart City / Proptech;;;;
102;Planetic Lab;Incubateur;Incubator;"Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité";"Environmental impact / Sustainability / Circular economy;Social impact / Solidarity";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Palais Brongniart;28 place de la Bourse;75002.0;Paris;Non;No;;;;;https://www.planeticlab.org/former/;;82083026300035;oui;non;2023_06_14;Palais Brongniart 28 place de la Bourse;48.869405,2.341855;2.0;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;;;Environmental impact / Sustainability / Circular economy;Social impact / Solidarity;;;
111;SAP.iO Foundry Paris;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;Leonardo Center TOUR SAP;35 rue d'Alsace;92300.0;Levallois-Perret;Non;No;;;oui;yes;https://sap.io/foundry-paris/;;;non;oui;2023_06_14;Leonardo Center TOUR SAP 35 rue d'Alsace;48.892907,2.298113;;;;;;;;;;;
114;Skema Venture Factory;Incubateur;Incubator;"Biens de consommation / Retail / E-commerce;Etudiant";"Consumer goods / Retail / E-commerce;Student";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;92.0;Campus Grand Paris CS 90067;5 quai Marcel Dassault;92156.0;Suresnes;Non;No;SKEMA Business School;SKEMA Business School;;;https://ventures.skema.edu/;SKEMA Business School;78370584100063;oui;non;2023_06_14;Campus Grand Paris CS 90067 5 quai Marcel Dassault;48.860369,2.224257;2.0;Biens de consommation / Retail / E-commerce;Etudiant;;;;Consumer goods / Retail / E-commerce;Student;;;
120;The Schoolab;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;15 rue de Milan;75009.0;Paris;Oui;Yes;;;oui;yes;https://www.theschoolab.com/;;80226979500026;oui;non;2023_06_14;15 rue de Milan;48.878742,2.327852;;;;;;;;;;;
141;CNRS Innovation;Incubateur;Incubator;Deeptech;Deeptech;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Oui;92.0;;79 avenue Edouard Vaillant;92100.0;Boulogne-Billancourt;Non;No;CNRS;CNRS;;;https://www.cnrsinnovation.com/rise/;;38846115400048;oui;non;2023_06_14;79 avenue Edouard Vaillant;48.834494,2.24689;1.0;Deeptech;;;;;Deeptech;;;;
177;Ares Association - Pantin;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;14 rue Lesault;93500.0;Pantin;Non;No;;;;;https://urlz.fr/k8pV;;;oui;non;2023_06_14;14 rue Lesault;48.890013,2.408665;;;;;;;;;;;
192;La Caserne;Accélérateur;Accelerator;"Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce";"Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce";5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;75.0;;12 rue Philippe de Girard;75010.0;Paris;Non;No;;;oui;yes;https://www.lacaserneparis.com/;LA CASERNE;85399833400017;non;oui;2023_06_14;12 rue Philippe de Girard;48.88165,2.36201;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce;;;
193;La Maison des Startups / LVMH;Accélérateur;Accelerator;Luxe / Beauté / Cosmétique / Mode / Textile;Luxury / Beauty / Cosmetic / Fashion / Textile;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;oui;yes;https://lamaisondesstartups.lvmh.com/;;;non;oui;2023_06_14;Station F 5 parvis Alan Turing;48.834508,2.370634;1.0;Luxe / Beauté / Cosmétique / Mode / Textile;;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;;;;
14;Bond'innov;Incubateur;Incubator;"Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire";"Social impact / Solidarity;Environmental impact / Sustainability / Circular economy";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;93.0;;32 avenue Henri Varagnat;93140.0;Bondy;Non;No;IRD, Université Sorbonne Paris-Nord;IRD, Sorbonne University Paris-Nord;oui;yes;https://bondinnov.com;;53443505200012;oui;non;2023_06_14;32 avenue Henri Varagnat;48.914385,2.485586;2.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;;;;Social impact / Solidarity;Environmental impact / Sustainability / Circular economy;;;
16;Campus Cyber;Incubateur, Accélérateur;Accelerator;"Deeptech;Aéronautique - Spatial - Défense";"Deeptech;Aeronautics / Space / Defense";7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;92.0;Tour Eria;5 rue Bellini;92800.0;Puteaux / Paris La Défense;Non;No;;;oui;yes;https://campuscyber.fr/innovations/;S.A.S Campus Cyber;89234363300012;oui;oui;2023_06_14;Tour Eria 5 rue Bellini;48.886529,2.249308;2.0;Deeptech;Aéronautique - Spatial - Défense;;;;Deeptech;Aeronautics / Space / Defense;;;
23;Connected Retail Incubator - Accélérateur de Shop!France;Accélérateur;Accelerator;"Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce";"Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;92.0;Tour Pacific;11-13 cours Valmy;92800.0;Puteaux / Paris La Défense;Non;No;;;;;https://www.shopassociation.fr/appel-a-candidature-du-cri-p1.htm;SNMPV - Shop! France;;non;oui;2023_06_14;Tour Pacific 11-13 cours Valmy;48.891998,2.232263;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce;;;
48;Incub'ESSCA;Incubateur;Incubator;Etudiant;Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;92.0;;55 quai Alphonse le Gallo;92513.0;Boulogne-Billancourt;Oui;Yes;ESSCA;ESSCA;;;https://incubateur.essca.fr/;ESSCA;78611672300069;oui;non;2023_06_14;55 quai Alphonse le Gallo;48.840081,2.224839;1.0;Etudiant;;;;;Student;;;;
70;The Human Safety Net Saint Denis - La Ruche;Incubateur;Incubator;Impact social / Solidarité;Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;232 avenue du Président Wilson;93200.0;Saint-Denis;Oui;Yes;;;;;http://www.la-ruche.net;L'Académie des Ruches;50299030200056;oui;non;2023_06_14;232 avenue du Président Wilson;48.945414,2.368538;1.0;Impact social / Solidarité;;;;;Social impact / Solidarity;;;;
82;MakeSense;Incubateur, Accélérateur;Incubator, Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;11 rue Biscornet;75012.0;Paris;Non;No;;;oui;yes;https://france.makesense.org/entrepreneurs/;;;oui;oui;2023_06_14;11 rue Biscornet;48.850504,2.369661;;;;;;;;;;;
94;Paris&Co Industries Culturelles & Créatives;Incubateur, Accélérateur;Incubator, Accelerator;Industries Culturelles & Créatives;Cultural / Creative;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;Le Cargo;157 bd Macdonald;75019.0;Paris;Non;No;;;oui;yes;https://lincc.parisandco.paris/;;;oui;oui;2023_06_14;Le Cargo 157 bd Macdonald;48.898595,2.378185;1.0;Industries Culturelles & Créatives;;;;;Cultural / Creative;;;;
110;Rungis & Co;Incubateur;Incubator;"FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire";"FoodTech / Agritech / Agrotech;Environmental impact / Sustainability / Circular economy";6. Agriculture, agro-alimentaire et nutrition;6_agric.jpg;6;6. Agriculture, AgTech/Agri-Food, FoodTech;Non;94.0;Marché de Rungis;rue de Lyon Bâtiment E4;94550.0;Chevilly-Larue;Oui;Yes;;;oui;yes;https://www.rungisandco.com/;;;oui;non;2023_06_14;Marché de Rungis rue de Lyon Bâtiment E4;48.763927,2.363773;2.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;;;;FoodTech / Agritech / Agrotech;Environmental impact / Sustainability / Circular economy;;;
129;TotalEnergies On @ STATION F;Accélérateur;Accelerator;Energie renouvelable;Energy / Renewables;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://totalenergies-on.softr.app/;TotalEnergies;;non;oui;2023_06_14;Station F 5 parvis Alan Turing;48.834508,2.370634;1.0;Energie renouvelable;;;;;Energy / Renewables;;;;
137;212 Founders by CDG invest @ STATION F;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://www.212founders.co/;CDG Invest;;non;oui;2023_06_14;Station F 5 parvis Alan Turing;48.834508,2.370634;;;;;;;;;;;
151;Incubateur EM Normandie - campus Paris Clichy;Incubateur;Incubator;Etudiant;Student;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;92.0;;30-32 rue Henri Barbusse;92110.0;Clichy;Non;No;EM Normandie;EM Normandie;;;https://www.em-normandie.com/fr/ecole-de-commerce-paris;EM Normandie;47980663000063;oui;non;2023_06_14;30-32 rue Henri Barbusse;48.899206,2.304548;1.0;Etudiant;;;;;Student;;;;
152;Antropia Essec;Incubateur;Incubator;"Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;Sport / Handicap / Bien-Etre";"Social impact / Solidarity;Environmental impact / Sustainability / Circular economy;Sport / Autonomy / Handicap / Well-being";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;95.0;;1 avenue Bernard Hirsh;95000.0;Cergy;Non;No;ESSEC;ESSEC;;;https://antropia-essec.fr/;Antropia;50340039200018;oui;non;2023_06_14;1 avenue Bernard Hirsh;49.033607,2.078442;3.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;Sport / Handicap / Bien-Etre;;;Social impact / Solidarity;Environmental impact / Sustainability / Circular economy;Sport / Autonomy / Handicap / Well-being;;
168;CCI Val-de-Marne;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;94.0;;8 place Salvador Allende;94000.0;Créteil;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;oui;non;2023_06_14;8 place Salvador Allende;48.778451,2.453769;;;;;;;;;;;
197;Spartners by Servier & BioLabs;Incubateur;Incubator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;91.0;Servier;22 route 128;91190.0;Gif-sur-Yvette;Non;No;;;oui;yes;https://www.biolabs.io/spartners;LES LABORATOIRES SERVIER;8548079600151;oui;non;2023_06_14;22 route 128;48.71362,2.16922;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;;;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;;;;
7;Accelair by Air Liquide;Incubateur, Accélérateur;Incubator, Accelerator;"Deeptech;Chimie / Matériaux;Aéronautique - Spatial - Défense;Energie renouvelable";"Deeptech;Chemistry / Materials;Aeronautics / Space / Defense;Energy / Renewables";7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;78.0;;1 chemin de la Porte des Loges;78350.0;Les-Loges-en-Josas;Non;No;;;oui;yes;https://www.airliquide.com/fr/accelair;ACCELAIR;87747194600013;oui;oui;2023_06_14;1 chemin de la Porte des Loges;48.763244,2.13267;4.0;Deeptech;Chimie / Matériaux;Aéronautique - Spatial - Défense;Energie renouvelable;;Deeptech;Chemistery / Materials;Aeronautics / Space / Defense;Energy / Renewables;
11;BivwAk! by BNP Paribas;Incubateur;Incubator;"Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Immobilier / Construction;Services Financiers , Assurance";"Environmental impact / Sustainability / Circular economy;Tourism / Smart City / Proptech;Real Estate / Construction;Fintech / Insurtech";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;3 rue Rossini;75009.0;Paris;Non;No;;;oui;yes;https://bivwak.bnpparibas/fr;;;oui;non;2023_06_14;3 rue Rossini;48.872846,2.340883;4.0;Impact environnemental, Durabilité, économie circulaire;Toursime / Ville intelligente / PropTech;Immobilier / Construction;Services Financiers , Assurance;;Environmental impact / Sustainability / Circular economy;Tourism / Smart City / Proptech;Real Estate / Construction;Fintech / Insurtech;
20;Creatis;Incubateur;Incubator;"Industries Culturelles & Créatives;Marketing / Publicité / Communication / Media";"Cultural / Creative;Marketing / Advertising / Communication / Media";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;15 rue de la Fontaine au Roi;75011.0;Paris;Non;No;;;oui;yes;https://www.creatis.net/;;;oui;non;2023_06_14;15 rue de la Fontaine au Roi;48.868535,2.369829;2.0;Industries Culturelles & Créatives;Marketing / Publicité / Communication / Media;;;;Cultural / Creative;Marketing / Advertising / Communication / Media;;;
30;ESITC Paris - Incubateur ESI 13;Incubateur;Incubator;"Immobilier / Construction;Impact environnemental, Durabilité, économie circulaire";"Real Estate / Construction;Environmental impact / Sustainability / Circular economy";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Oui;94.0;;79 avenue Aristide Briand;94110.0;Arcueil;Non;No;ESITC;ESITC;;;https://www.esitc-paris.fr/fr/recherche-innovation/esi-13-incubateur-smart-construction;ESITC;39433164900027;oui;non;2023_06_14;79 avenue Aristide Briand;48.80493,2.325513;2.0;Immobilier / Construction;Impact environnemental, Durabilité, économie circulaire;;;;Real Estate / Construction;Environmental impact / Sustainability / Circular economy;;;
37;Future4care, accélérateur européen de startups en santé digitale;Incubateur, Accélérateur;Incubator, Accelerator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;75.0;;6-9 rue Jean Antoine de Baïf;75013.0;Paris;Non;No;;;oui;yes;https://future4care.com/;;;oui;oui;2023_06_14;6-9 rue Jean Antoine de Baïf;48.827767,2.383965;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;;;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;;;;
44;Impulse Partners;Incubateur, Accélérateur;Incubator, Accelerator;"Tourisme / Ville intelligente / PropTech;Immobilier / Construction";"Tourism / Smart City / Proptech;Real Estate / Construction";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;;130 rue de Lourmel;75015.0;Paris;Non;No;;;oui;yes;https://impulse-partners.com/;;53838676400020;oui;oui;2023_06_14;130 rue de Lourmel;48.841627,2.284948;2.0;Toursime / Ville intelligente / PropTech;Immobilier / Construction;;;;Tourism / Smart City / Proptech;Real Estate / Construction;;;
46;INCOPLEX 93;Incubateur;Incubator;"Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité";"Environmental impact / Sustainability / Circular economy;Social impact / Solidarity";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;93.0;;14 avenue Edouard Vaillant;93500.0;Pantin;Oui;Yes;;;oui;yes;https://inco-group.co/;INCO Incubators;;oui;non;2023_06_14;14 avenue Edouard Vaillant;48.899309,2.397498;2.0;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;;;Environmental impact / Sustainability / Circular economy;Social impact / Solidarity;;;
54;Incubateur des Arts et Métiers;Incubateur;Incubator;"Industrie / Logistique;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins";"Industry / Logistic;Environmental impact / Sustainability / Circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Arts et métiers campus de Paris;151 boulevard de l'Hôpital;75013.0;Paris;Oui;Yes;ENSAM;ENSAM;;;https://incubateur.artsetmetiers.fr/;ENSAM;19753472000010;oui;non;2023_06_14;Arts et métiers campus de Paris 151 boulevard de l'Hôpital;48.833773,2.357558;3.0;Industrie / Logistique;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;Industry / Logistic;Environmental impact / Sustainability / Circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;;
64;iPEPS @ STATION F;Incubateur, Accélérateur;Incubator, Accelerator;"Deeptech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Développement de logiciels / Service Cloud / Big data (ou données de masse)";"Deeptech;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Software development / Cloud services / Big data";4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Oui;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Oui;Yes;Institut du Cerveau;Institut du Cerveau;;;https://ipeps.institutducerveau-icm.org/;Institut du Cerveau - Paris Brain Institute;;oui;oui;2023_06_14;Station F 5 parvis Alan Turing;48.834508,2.370634;3.0;Deeptech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Développement de logiciels / Service Cloud / Big data (ou données de masse);;;Deeptech;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Software development / Cloud services / Big data;;
66;Incubateur Jean-Luc François;Incubateur;Incubator;Luxe / Beauté / Cosmétique / Mode / Textile;Luxury / Beauty / Cosmetic / Fashion / Textile;5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;93.0;;47 rue des Pommiers;93500.0;Pantin;Non;No;;;;;https://association-jeanlucfrancois.blogspot.com/2022/09/appel-la-candidature.html#more;ASSOCIATION JEAN LUC FRANCOIS;53352075500018;oui;non;2023_06_14;47 rue des Pommiers;48.885253,2.410695;1.0;Luxe / Beauté / Cosmétique / Mode / Textile;;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;;;;
71;The Human Safety Net Montreuil - La Ruche;Incubateur;Incubator;Impact social / Solidarité;Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;93.0;;31 rue Lebour;93100.0;Montreuil;Oui;Yes;;;;;http://www.la-ruche.net;L'Académie des Ruches;50299030200056;oui;non;2023_06_14;31 rue Lebour;48.854011,2.425416;1.0;Impact social / Solidarité;;;;;Social impact / Solidarity;;;;
98;Paris&Co Ville durable;Incubateur, Accélérateur;Incubator, Accelerator;"Impact environnemental, Durabilité, économie circulaire;Automobile, Mobilité, Mobilité partagée;Tourisme / Ville intelligente / PropTech;Immobilier / Construction";"Environmental impact / Sustainability / Circular economy;Automotive / Mobility / Shared mobility;Tourism / Smart City / Proptech;Real Estate / Construction";2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Nord Express;46 rue René Clair;75018.0;Paris;Non;No;;;oui;yes;https://urbanlab.parisandco.paris/;;;oui;oui;2023_06_14;Nord Express 46 rue René Clair;48.893921,2.354198;4.0;Impact environnemental, Durabilité, économie circulaire;Automobile, Mobilité, Mobilité partagée;Toursime / Ville intelligente / PropTech;Immobilier / Construction;;Environmental impact / Sustainability / Circular economy;Automotive / Mobility / Shared mobility;Tourism / Smart City / Proptech;Real Estate / Construction;
